id_x,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,id_market,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,id_pl,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_cf,operating_activity,investing_activity,financing_activity,net_cash_flow,id_bs,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id_y,broad_sector,sub_sector,index_weight_pct,market_cap_category,id,company_logo,company_name,chart_link,about_company,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,revenue_cagr,pat_cagr,free_cash_flow_cagr,cfo_pat_ratio,composite_score,rank
604,ITC,2024,29.28,37.02,27.85,0.0,362.96,0.77,15616.0,1563.0,16.0,60.0,84.0,303.0,17179.0,318.0,332245.58,369131.93,47.85,3.24,17.19,4.26,771,70866.0,44634.0,26233.0,37.0,2804.0,80.0,1816.0,27140.0,24.0,20751.0,16.0,84.0,711.0,17179.0,1563.0,-18551.0,191.0,844,1251.0,74015.0,304.0,18501.0,94071.0,29492.0,1387.0,28409.0,34784.0,94071.0,53,Consumer Staples,Diversified FMCG,1.39,Large Cap,ITC,https://mkt.in/static/mkt-icons/nifty100/ITC.png,ITC Ltd,https://in.tradingview.com/chart/?symbol=ITC,"ITC Limited is an Indian conglomerate, headquartered in Kolkata. It has a presence across six business segments, namely FMCG, hotels, agribusiness, information technology, paper products, and packaging.",https://www.itcportal.com/,https://www.nseindia.com/get-quotes/equity?symbol=ITC,https://www.bseindia.com/stock-share-price/itc-ltd/itc/500875/,1.0,60.0,34.76,29.47,7.612806258058069,9.425931069584559,15.431774102380391,0.8278637174112091,62.38280357433424,11
738,NAUKRI,2018,50.71,22.17,24.5,0.0,124.0,0.38,104.0,149.0,42.0,3225.0,13.0,1.0,253.0,,,,,,,,918,988.0,769.0,219.0,22.0,401.0,5.0,30.0,585.0,14.0,501.0,42.0,13.0,851.0,253.0,-149.0,-75.0,29.0,902,122.0,1923.0,1.0,550.0,2596.0,88.0,0.0,1565.0,943.0,2596.0,66,Communication Services,Internet & Platforms,4.44,Large Cap,NAUKRI,https://assets-netstorage.groww.in/stock-assets/logos2/InfoEdgIndia_32670259917_18844.png,Info Edge (India) Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ANAUKRI,"Info Edge is India's premier online classified company with a portfolio of brands. It owns various brands in different fields like naukri.com (online recruitment), 99acres.com (online real estate), jeevansathi.com (online matrimonial) as well as shiksha.com (online education information services). It also acts as an investor and has invested in many start-ups in the online space and is actively growing its investment portfolio.",http://www.infoedge.in/,https://www.nseindia.com/get-quotes/equity?symbol=NAUKRI,https://www.bseindia.com/stock-share-price/info-edge-india-ltd/NAUKRI/532777/,10.0,3225.0,3.65,2.44,16.515171117605696,20.571804647248214,,0.5049900199600799,62.25583939369694,12
558,INFY,2024,17.08,23.7,29.79,0.09,87.52,1.13,20117.0,5093.0,63.0,218.0,,8359.0,25210.0,294.0,1112279.92,1372029.68,35.99,8.97,36.7,4.1,721,153670.0,117245.0,36425.0,24.0,4711.0,470.0,4678.0,35988.0,27.0,26248.0,63.0,,668.0,25210.0,-5093.0,-17504.0,2613.0,794,2072.0,88391.0,8804.0,42603.0,141870.0,31917.0,505.0,17394.0,92054.0,141870.0,49,Information Technology,IT Services,3.37,Large Cap,INFY,https://images.5paisa.com/MarketIcons/INFY.png,Infosys Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AINFY,"Infosys Ltd provides consulting, technology, outsourcing and next-generation digital services to enable clients to execute strategies for their digital transformation",http://www.infosys.com/,https://www.nseindia.com/get-quotes/equity?symbol=INFY,https://www.bseindia.com/stock-share-price/infosys-ltd/INFY/500209/,5.0,218.0,40.0,31.8,12.925778520018305,9.754152854304344,14.697791723983645,0.9604541298384639,61.79565044877409,13
113,BAJAJ-AUTO,2016,17.99,21.23,28.97,0.01,5987.0,1.31,3622.0,68.0,140.0,1109.0,39.0,118.0,3690.0,,,,,,,,209,22574.0,17781.0,4793.0,21.0,1194.0,1.0,307.0,5679.0,28.0,4061.0,140.0,39.0,223.0,3690.0,-68.0,-3384.0,238.0,302,289.0,13731.0,118.0,3102.0,17240.0,2026.0,52.0,11067.0,4095.0,17240.0,12,Consumer Discretionary,Two Wheelers,3.9,Large Cap,BAJAJ-AUTO,https://mkt.in/static/mkt-icons/nifty100/BAJAJ-AUTO.png,Bajaj Auto Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Bajaj Auto, the flagship company of Bajaj Group, is a two-wheeler and three-wheeler manufacturing company that exports to 79 countries across several countries in Latin America, Southeast Asia, and many more. Its headquarter is in Pune, India.
It has acquired 48% of the KTM Brand which manufactures sports and super sports two-wheelers, which was 14% in 2007 when the company first acquired KTM. [1]",https://www.bajajauto.com/,https://www.nseindia.com/get-quotes/equity?symbol=BAJAJ-AUTO,https://www.bseindia.com/stock-share-price/bajaj-auto-ltd/BAJAJ-AUTO/532977/,10.0,1109.0,33.5,26.5,7.610103604680107,8.528488754088425,20.63103849143375,0.9086431913321842,61.70291088233239,14
916,SUNPHARMA,2017,24.85,31.99,21.41,0.27,26.78,0.52,2896.0,4186.0,29.0,288.0,12.0,9832.0,7082.0,,,,,,,,1124,31578.0,21476.0,10102.0,32.0,610.0,400.0,1265.0,9048.0,13.0,7846.0,29.0,12.0,1042.0,7082.0,-4186.0,-2285.0,611.0,1314,240.0,36400.0,9832.0,14624.0,61095.0,17675.0,2801.0,1192.0,39427.0,61095.0,82,Healthcare,Pharmaceuticals,0.3,Large Cap,SUNPHARMA,https://mkt.in/static/mkt-icons/nifty100/SUNPHARMA.png,Sun Pharmaceuticals Industries Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Sun Pharmaceutical Industries Ltd is engaged in the business of manufacturing, developing and marketing a wide range of branded and generic formulations and Active Pharma Ingredients (APIs). The company and its subsidiaries has various manufacturing facilities spread across the world with trading and other incidental and related activities extending to global market.[1] It is the largest pharmaceutical company in India.[2]",https://sunpharma.com/,https://www.nseindia.com/get-quotes/equity?symbol=SUNPHARMA,https://www.bseindia.com/stock-share-price/sun-pharmaceuticals-industries-ltd/SUNPHARMA/524715/,1.0,288.0,17.3,16.7,14.316083130091606,9.705653293530192,24.940231338729358,0.9026255416772878,59.201984899474525,15
756,NESTLEIND,2024,16.12,23.83,117.75,0.1,41.19,2.32,2938.0,1237.0,41.0,41.0,79.0,345.0,4175.0,402.0,1677775.19,1677279.88,54.96,14.34,15.49,3.85,937,24394.0,18581.0,5813.0,24.0,159.0,145.0,538.0,5289.0,26.0,3933.0,41.0,79.0,869.0,4175.0,-1237.0,-3135.0,-198.0,896,96.0,3894.0,370.0,6747.0,11108.0,3925.0,2340.0,786.0,4057.0,11108.0,67,Consumer Staples,Food Products,0.94,Large Cap,NESTLEIND,https://mkt.in/static/mkt-icons/nifty100/NESTLEIND.png,Nestle India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ANESTLEIND,"Nestle India Limited is the Indian subsidiary of Nestle which is a Swiss multinational company. The company is headquartered in Gurgaon, Haryana. The company's products include food, beverages, chocolate, and confectioneries.",https://www.nestle.in/,https://www.nseindia.com/get-quotes/equity?symbol=NESTLEIND,https://www.bseindia.com/stock-share-price/nestle-india-ltd/nestleind/500790/,1.0,41.0,185.43,135.61,9.377179141984705,12.123679940401999,7.289119583372683,1.0615306381896772,58.70669705300885,16
320,DIVISLAB,2021,28.47,41.14,21.34,0.0,1462.0,0.65,1872.0,75.0,75.0,517.0,27.0,5.0,1947.0,165.0,1595539.83,1586504.61,9.75,6.26,21.89,0.76,433,6969.0,4102.0,2867.0,41.0,57.0,2.0,256.0,2666.0,26.0,1984.0,75.0,27.0,418.0,1947.0,75.0,-35.0,1987.0,511,53.0,9242.0,5.0,1471.0,10771.0,3704.0,711.0,0.0,6356.0,10771.0,28,Healthcare,Pharmaceuticals,3.75,Large Cap,DIVISLAB,https://mkt.in/static/mkt-icons/nifty100/DIVISLAB.png,Divis Laboratories Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Incorporated in 1990, Divis Laboratories Ltd manufactures and exports API's, Intermediates and Nutraceutical ingredients",https://www.divislaboratories.com/lander,https://www.nseindia.com/get-quotes/equity?symbol=DIVISLAB,https://www.bseindia.com/stock-share-price/divis-laboratories-ltd/DIVISLAB/532488/,2.0,517.0,16.5,12.2,12.511490330230668,9.293175538754372,14.439348744084079,0.9813508064516129,56.94036306847336,17
390,GODREJCP,2019,22.71,20.67,32.23,0.47,10.48,0.73,1455.0,274.0,23.0,119.0,44.0,3382.0,1729.0,199.0,807328.65,896565.06,26.5,4.95,21.35,4.17,509,10314.0,8183.0,2132.0,21.0,362.0,238.0,170.0,2085.0,-12.0,2342.0,23.0,44.0,488.0,1729.0,274.0,-2039.0,-36.0,587,102.0,7165.0,3382.0,3445.0,14094.0,8670.0,52.0,516.0,4855.0,14094.0,34,Consumer Staples,Personal Products,0.89,Large Cap,GODREJCP,https://mkt.in/static/mkt-icons/nifty100/GODREJCP.png,Godrej Consumer Products Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AGODREJCP,"Godrej Consumer Products Limited is an Indian Multinational consumer goods company based in Mumbai, India. GCPL's products include soap, hair colourants, toiletries and liquid detergents.",https://www.godrejcp.com/,https://www.nseindia.com/get-quotes/equity?symbol=GODREJCP,https://www.bseindia.com/stock-share-price/godrej-consumer-products-ltd/godrejcp/532424/,1.0,119.0,26.49,6.77,7.423727060784069,,,0.7382578992314262,56.745988760077914,18
299,COALINDIA,2024,26.26,66.29,45.17,0.08,11.24,0.6,13617.0,4486.0,61.0,156.0,42.0,6523.0,18103.0,156.0,454024.84,574785.39,34.27,14.75,25.15,4.38,410,142324.0,819.0,94352.0,47971.0,34.0,8396.0,6735.0,48813.0,23.0,37369.0,61.0,42.0,397.0,18103.0,-4486.0,-13899.0,-282.0,489,6163.0,90034.0,7816.0,145345.0,249359.0,83642.0,16129.0,9058.0,140529.0,249359.0,26,Materials,Mining & Metals,2.46,Large Cap,COALINDIA,https://mkt.in/static/mkt-icons/nifty100/COALINDIA.png,Coal India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ACOALINDIA,"Coal India Ltd is mainly engaged in mining and production of Coal and also operates Coal washeries. The major consumers of the company are power and steel sectors. Consumers from other sectors include cement, fertilizers, brick kilns etc.",http://www.coalindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=COALINDIA,https://www.bseindia.com/stock-share-price/coal-india-ltd/COALINDIA/533278/,10.0,156.0,63.6,52.0,6.901870831390378,7.220628498640447,5.863057152249307,0.48443897348069254,56.09389257260395,19
457,HDFCLIFE,2018,3.43,96.67,23.53,0.0,110.6,0.29,2318.0,4421.0,6.0,73.0,25.0,0.0,6739.0,,,,,,,,586,32260.0,11.0,31186.0,1074.0,3.0,282.0,44.0,1300.0,15.0,1107.0,6.0,25.0,555.0,6739.0,-4421.0,-196.0,2122.0,673,2012.0,2693.0,0.0,105778.0,110483.0,336.0,5.0,106590.0,3551.0,110483.0,40,Financials,Life Insurance,0.93,Large Cap,HDFCLIFE,https://mkt.in/static/mkt-icons/nifty100/HDFCLIFE.png,HDFC Life Insurance Company Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AHDFCLIFE,HDFC Life Insurance Company is engaged in carrying on the business of life insurance. The Company offers a range of individual and group insurance solutions.,http://www.hdfclife.com/,https://www.nseindia.com/get-quotes/equity?symbol=HDFCLIFE,https://www.bseindia.com/stock-share-price/hdfc-life-insurance-company-ltd/HDFCLIFE/540777/,10.0,73.0,6.61,11.4,19.68416652339917,12.124300302065084,,6.087624209575429,55.500686069164544,20
